College Name,Course,Caste,Gender,Rank Range,Cutoff Marks
ABC College,Computer Science,General,Male,"1-100",90
ABC College,Computer Science,OBC,Male,"950-950",950
ABC College,Computer Science,SC,Male,"201-300",80
ABC College,Computer Science,ST,Female,"1-100",92
ABC College,Electronics,General,Female,"101-200",87
ABC College,Mechanical,General,Female,"201-300",82
XYZ College,Electronics,General,Male,"1-100",88
XYZ College,Computer Science,OBC,Male,"980-980",980
XYZ College,Electronics,General,Male,"201-300",78
XYZ College,Electronics,General,Female,"1-100",90
XYZ College,Electronics,General,Female,"101-200",85
XYZ College,Electronics,General,Female,"201-300",80
PQR College,Mechanical,General,Male,"1-100",86
PQR College,ABC A,OBC,Male,"980-980",980
PQR College,Mechanical,General,Male,"201-300",76
PQR College,Mechanical,General,Female,"1-100",88
PQR College,Mechanical,General,Female,"101-200",83
PQR College,Mechanical,General,Female,"201-300",78
INSTITUTE OF AERONAUTICAL ENGINEERING,AERONAUTICAL ENGINEERING,General,Male,19645-19647,19647
MALLA REDDY COLLEGE OF ENGG TECHNOLOGY (AUTONOMOUS),AERONAUTICAL ENGINEERING,General,Male,27134-27136,27136
MAHAVEER INSTITUTE OF SCI AND TECHNOLOGY,AERONAUTICAL ENGINEERING,General,Male,33307-33309,33309
M L R INSTITUTE OF TECHNOLOGY,AERONAUTICAL ENGINEERING,General,Male,38538-38540,38540
COLLEGE OF AGRICULTURAL ENGG,AGRICULTURAL ENGINEERING,General,Male,60032-60034,60034
ANURAG UNIVERSITY (FORMERLY ANURAG GRP OF INSTNS- CVSR COLL OF ENGG),ARTIFICIAL INTELLIGENCE,General,Male,9810-9812,9812
VIDYAJYOTHI INSTITUTE OF TECHNOLOGY,ARTIFICIAL INTELLIGENCE,General,Male,40446-40448,40448
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,General,Male,4165-4167,4167
V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,General,Male,4607-4609,4609
B V RAJU INSTITUTE OF TECHNOLOGY,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,General,Male,11988-11990,11990
VARDHAMAN COLLEGE OF ENGINEERING,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,General,Male,14998-15000,15000
C M R COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,General,Male,17994-17996,17996
GURUNANAK INST OF TECHNOLOGY,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,General,Male,20272-20274,20274
GURU NANAK INSTITUTIONS TECHNICAL CAMPUS (AUTONOMOUS),ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,General,Male,31095-31097,31097
J B INSTITUTE OF ENGG AND TECHNOLOGY (AUTONOMOUS),ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,General,Male,34583-34585,34585
ST MARTINS ENGINEERING COLLEGE (AUTONOMOUS),ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,General,Male,37528-37530,37530
MALLA REDDY COLLEGE OF ENGG TECHNOLOGY (AUTONOMOUS),ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,General,Male,37616-37618,37618
METHODIST COLLEGE OF ENGINEERING AND TECHNOLOGY (AUTONOMOUS),ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,General,Male,39239-39241,39241
CMR INSTITUTE OF TECHNOLOGY (AUTONOMOUS),ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,General,Male,39275-39277,39277
SRI INDU COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,General,Male,47521-47523,47523
CMR ENGG COLLEGE (AUTONOMOUS),ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,General,Male,50219-50221,50221
VIGNAN INSTITUTE OF TECHNOLOGY AND SCI,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,General,Male,57389-57391,57391
MALLA REDDY COLLEGE OF ENGINEERING,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,General,Male,59631-59633,59633
ST PETERS ENGINEERING COLLEGE (AUTONOMOUS),ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,General,Male,64575-64577,64577
NALLAMALLA REDDY ENGINEERING COLLEGE (AUTONOMOUS),ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,General,Male,74124-74126,74126
SRI INDU INSTITUTE OF ENGINEERING AND TECHNOLOGY,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,General,Male,80967-80969,80969
BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,General,Male,96121-96123,96123
MEGHA INST OF ENGG AND TECHNOLOGY FOR WOMEN,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,General,Male,0-2,2
PRIYADARSHINI INSTITUTE OF SCIENCE & TECHNOLOGY FOR WOMEN,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,General,Male,0-2,2
STANLEY COLLEGE OF ENGG AND TECHNOLOGY FOR WOMEN (AUTONOMOUS),ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,General,Male,0-2,2
VIGNANS INST OF MANAGEMENT AND TECH FOR WOMEN,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,General,Male,0-2,2
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,General,Male,3485-3487,3487
O U COLLEGE OF ENGG HYDERABAD - SELF FINANCE,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,General,Male,4310-4312,4312
VARDHAMAN COLLEGE OF ENGINEERING,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,General,Male,11402-11404,11404
C M R COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,General,Male,24565-24567,24567
MALLAREDDY ENGINEERING COLLEGE (AUTONOMOUS),ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,General,Male,28026-28028,28028
M L R INSTITUTE OF TECHNOLOGY,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,General,Male,31886-31888,31888
MALLA REDDY COLLEGE OF ENGG TECHNOLOGY (AUTONOMOUS),ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,General,Male,32011-32013,32013
CMR INSTITUTE OF TECHNOLOGY (AUTONOMOUS),ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,General,Male,34548-34550,34550
ST MARTINS ENGINEERING COLLEGE (AUTONOMOUS),ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,General,Male,36212-36214,36214
J B INSTITUTE OF ENGG AND TECHNOLOGY (AUTONOMOUS),ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,General,Male,36984-36986,36986
CMR TECHNICAL CAMPUS (AUTONOMOUS),ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,General,Male,42802-42804,42804
TEEGALA KRISHNA REDDY ENGINEERING COLLEGE (AUTONOMOUS),ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,General,Male,51912-51914,51914
SREE CHAITANYA INST OF TECHNOLOGY SCIENCES,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,General,Male,59721-59723,59723
KAMALA INSTITUTE OF TECHNOLOGY AND SCIENCE,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,General,Male,92085-92087,92087
TRINITY COLLEGE OF ENGINEERING AND TECHNOLOGY,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,General,Male,120245-120247,120247
TRINITY COLLEGE OF ENGINEERING AND TECHNOLOGY,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,General,Male,120856-120858,120858
V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH,AUTOMOBILE ENGINEERING,General,Male,97757-97759,97759
M V S R ENGINEERING COLLEGE (AUTONOMOUS),AUTOMOBILE ENGINEERING,General,Male,120045-120047,120047
VISHNU INST OF PHARM EDN AND RESEARCH,B. PHARMACY (M.P.C. STREAM),General,Male,23781-23783,23783
VIKAS COLLEGE OF PHARMACY,B. PHARMACY (M.P.C. STREAM),General,Male,24265-24267,24267
ANURAG UNIVERSITY (FORMERLY ANURAG GRP OF INSTNS- CVSR COLL OF ENGG),B. PHARMACY (M.P.C. STREAM),General,Male,32888-32890,32890
M N R COLLEGE OF PHARMACY,B. PHARMACY (M.P.C. STREAM),General,Male,36116-36118,36118
S R R COLLEGE OF PHARMACEUTICAL SCIS,B. PHARMACY (M.P.C. STREAM),General,Male,42304-42306,42306
BHASKAR PHARMACY COLLEGE,B. PHARMACY (M.P.C. STREAM),General,Male,53191-53193,53193
VIGNAN INST OF PHARM SCI,B. PHARMACY (M.P.C. STREAM),General,Male,62975-62977,62977
STPAULS COLLEGE OF PHARMACY,B. PHARMACY (M.P.C. STREAM),General,Male,64484-64486,64486
K U COLLEGE OF PHARMACEUTICAL SCIENCES,B. PHARMACY (M.P.C. STREAM),General,Male,67909-67911,67911
OMEGA COLLEGE OF PHARMACY,B. PHARMACY (M.P.C. STREAM),General,Male,69231-69233,69233
SATAVAHANA UNIVERSITY,B. PHARMACY (M.P.C. STREAM),General,Male,70007-70009,70009
TEEGALA RAMI REDDY COLL OF PHARMACY,B. PHARMACY (M.P.C. STREAM),General,Male,72881-72883,72883
GLOBAL COLLEGE OF PHARMACY,B. PHARMACY (M.P.C. STREAM),General,Male,73766-73768,73768
SVS GRP OF INSTNS - SVS INST OF PHARMACY,B. PHARMACY (M.P.C. STREAM),General,Male,74536-74538,74538
UNITY COLLEGE OF PHARMACY,B. PHARMACY (M.P.C. STREAM),General,Male,74876-74878,74878
S S J COLLEGE OF PHARMACY,B. PHARMACY (M.P.C. STREAM),General,Male,76283-76285,76285
MAX INST OF PHARM SCI,B. PHARMACY (M.P.C. STREAM),General,Male,77222-77224,77224
MOHAMMADIYA INSTITUTE OF PHARMACY,B. PHARMACY (M.P.C. STREAM),General,Male,78596-78598,78598
VIJAY COLL OF PHARMACY,B. PHARMACY (M.P.C. STREAM),General,Male,82010-82012,82012
ARYA COLLEGE OF PHARMACY,B. PHARMACY (M.P.C. STREAM),General,Male,83006-83008,83008
K V K COLLEGE OF PHARMACY,B. PHARMACY (M.P.C. STREAM),General,Male,85618-85620,85620
GYANA JYOTHI COLLEGE OF PHARMACY,B. PHARMACY (M.P.C. STREAM),General,Male,87631-87633,87633
MOONRAY INST OF PHARM SCI,B. PHARMACY (M.P.C. STREAM),General,Male,89110-89112,89112
ANURAG PHARMACY COLLEGE,B. PHARMACY (M.P.C. STREAM),General,Male,89595-89597,89597
GEETHANJALI COLL OF PHARM,B. PHARMACY (M.P.C. STREAM),General,Male,93855-93857,93857
GOKARAJU RANGARAJU COLLEGE OF PHARMACY,B. PHARMACY (M.P.C. STREAM),General,Male,97291-97293,97293
